ticker: 'BRWFC', amount: '€11,501,806.00', client: 'George C. Scott', second: 'Charles Bronson', direction: 'SUB'
ticker: 'MD69A', amount: '€40,618,413.00', client: 'Brad Pitt', second: 'Sam Neill', direction: 'RED'
ticker: 'PBAIX', amount: '€16,202,411.00', client: 'Bill Pullman', second: 'Eli Wallach', direction: 'SUB'
ticker: 'BHYAX', amount: '€2,528,763.00', client: 'Robert Redford', second: 'Matt Dillon', direction: 'RED'
ticker: 'BRPGX', amount: '€88,672,510.00', client: 'Jeff Brigg', second: 'Omar Sharif', direction: 'SUB'
ticker: 'AGPOA', amount: '€39,331,22.00', client: 'Michael Madsen', second: 'Don Johnson', direction: 'RED'
ticker: 'MBBAX', amount: '€49,116,435.00', client: 'Joaquin Phoenix', second: 'Peter Ustinov', direction: 'RED'
ticker: 'BLBIX', amount: '€37,880,036.00', client: 'John Wayne', second: 'Jim Carrey', direction: 'RED'
ticker: 'STLEX', amount: '€50,254,996.00', client: 'Kirk Douglas', second: 'John Turturro', direction: 'RED'
ticker: 'MUJ', amount: '€15,430,381.00', client: 'Willem Dafoe', second: 'Patrick Stewart', direction: 'SUB'
ticker: 'HEFA', amount: '€74,346,623.00', client: 'Antonio Banderas', second: 'Eddie Murphy', direction: 'SUB'
ticker: 'SUB', amount: '€76,355,455.00', client: 'Jeff Bridge', second: 'Jeff Bridges', direction: 'SUB'
ticker: 'LPHIX', amount: '€30,775,268.00', client: 'Kevin Kline', second: 'John Turturro', direction: 'RED'
ticker: 'MABAX', amount: '€14,049,104.00', client: 'Donald Sutherland', second: 'Vinnie Jones', direction: 'RED'
ticker: 'IBDL', amount: '€66,254,310.00', client: 'Ed Harris', second: 'Torn Berenger', direction: 'SUB'
ticker: 'BMSIX', amount: '€26,274,943.00', client: 'Javier Bardem', second: 'Tom Hulce', direction: 'SUB'
ticker: 'SUB', amount: '€12,901,114.00', client: 'Joaquin Pnoenix', second: 'Patrick Stewart', direction: 'SUB'
